participant	text_id	sentence_id	text	token_count	fix_count	fix_prob	mean_fix_dur	first_fix_dur	first_pass_dur	tot_fix_dur	refix_count	reread_prob	tot_regr_from_dur
avg	4-79	4648	Ik was er zelf van overtuigd dat mevrouw mevrouw Cavendish helemaal niet op haar eigen kamer was, maar in werkelijkheid in de kamer van van de overledene toen er alarm werd geslagen.	32	21.75	13.75	3042.0327380952385	3068.125	3402.25	4377.625	4.125	4.125	501.875
avg	1-65	416	Terwijl we door het dorp reden, bedacht ik, dat ik nog wat postzegels moest hebben, dus stopten we bij het postkantoor.	21	15.299999999999999	10.100000000000003	2516.7749999999996	2545.6	2825.5999999999995	3082.3999999999996	1.1	2.5	775.3
avg	3-6	2767	Een zeer lasterlijk en volkomen onjuist gerucht, onderbrak Inglethorp hem met overslaande stem.	13	15.75	8.0	2036.3229166666665	2107.625	2410.75	3175.625	4.125	4.5	2163.5
avg	4-10	4200	Als je weet dat iemand schuldig is, wil dat nog niet zeggen dat je het ook kunt bewijzen.	18	13.125	9.625	2234.4583333333335	2211.125	2264.375	2644.875	1.875	1.75	521.625
avg	3-126	3839	Wat bedoelde ze met 'Boven op de kleerkast'?	8	5.625	2.875	852.6291666666666	846.375	1070.75	1234.5	0.625	1.125	225.125
avg	4-66	4558	Geen moment weifelde of aarzelde hij.	6	4.75	3.5	891.9375	879.625	976.0	1017.75	0.25	0.625	204.5
avg	2-102	2146	Strychnine wordt niet voor huishoudelijke doeleinden gebruikt, zoals sommige andere vergiften, en er bestaan beperkende bepalingen voor de verkoop.	19	19.900000000000002	11.899999999999999	2920.705000000001	3010.8	3293.0000000000005	4214.1	3.7	4.300000000000001	737.0999999999999
avg	4-64	4537	Ondanks mezelf was ik blij en opgelucht.	7	5.5	4.25	931.6041666666666	899.875	924.25	1083.0	0.5	0.625	143.875
avg	1-96	617	Tenslotte gaf hij het op en met een ernstig gezicht schudde hij zijn hoofd.	14	10.0	6.5	1844.8833333333332	1880.3999999999999	2003.1	2101.4	0.7	1.4000000000000001	319.6
avg	3-129	3867	En de daad bij het woord voegend, rende en sprong hij werkelijk als een wildeman over het stuk grasveld voor de tuindeuren.	22	16.375	11.75	2764.9375000000005	2713.5	3142.5	3371.75	0.75	2.625	448.625
avg	2-144	2467	Het zit zo, zei hij tot nu toe hebben wij de zaak alleen van de buitenkant bekeken.	17	10.099999999999998	7.200000000000001	1746.1499999999999	1762.1999999999996	1834.7999999999995	1986.8999999999996	0.7999999999999999	1.3	225.9
avg	1-46	308	Ze kreeg een kleur toen ze hem haar hand toestak.	10	9.599999999999998	4.8	1212.8583333333333	1211.8	1284.6	1807.0000000000002	2.7	2.3000000000000007	406.3
avg	4-20	4265	Dit testament werd de volgende morgen vernietigd gevonden in de haard op haar slaapkamer, maar er waren bewijzen voorhanden die aantoonden dat haar echtgenoot hierin begunstigd werd.	27	24.375	15.0	3768.6875	3762.375	4373.0	5106.875	2.875	5.375	1644.875
avg	2-59	1784	En ik loop met allebei de sleutels in m'n zak!	10	6.8	4.3	1052.8833333333332	1082.2	1238.0000000000002	1326.8999999999999	0.5	1.4000000000000004	229.89999999999998
avg	2-103	2154	Op dat moment had ze een stuiptrekking die typerend is voor tetanus.	12	8.899999999999999	5.4	1366.5916666666667	1339.7000000000003	1659.3000000000002	1871.1	0.9	1.7	289.5
avg	2-102	2143	Te oordelen naar de hoeveelheid die teruggevonden was, moest zij minstens vijftig milligram strychnine hebben binnengekregen, waarschijnlijk zelfs vijfenzestig of meer.	21	20.5	12.900000000000002	2980.1333333333337	3057.6999999999994	3623.6000000000004	4107.299999999999	1.7000000000000002	4.300000000000001	534.6000000000001
avg	2-141	2445	Herinnert u zich 'Baron' Altara nog?	6	6.1	4.0	1017.5666666666667	1051.6	1202.7	1331.3999999999999	0.6000000000000001	1.2999999999999998	143.0
avg	1-142	989	Wat voor complicatie betekende dit testament?	6	6.6	3.2	1027.7400000000002	1022.9000000000001	1099.1	1344.8	1.0	1.3	296.9
avg	3-67	3286	De uitdrukking op het donkere, droefgeestige gezicht veranderde niet.	9	8.875	4.75	1422.8333333333335	1452.875	1856.75	1992.625	0.75	2.125	595.0
avg	1-54	349	De buitengewone en mijns inziens onverklaarbare voorkeur die Mary Cavendish toonde voor het gezelschap van dokter Bauerstein was het enige dat een beetje een schaduw wierp op mijn prettige dagen.	30	26.70000000000001	17.8	4386.916666666668	4434.700000000001	4927.800000000001	5631.900000000002	3.300000000000001	5.200000000000001	1037.6999999999998
avg	2-48	1683	Natuurlijk heeft Alfred Inglethorp die arme Emily vermoord, ik heb trouwens altijd al beweerd dat hij dat doen zou.	19	12.299999999999999	9.6	2310.8500000000004	2336.9	2505.000000000001	2560.8000000000006	0.30000000000000004	1.3	413.3
avg	1-138	950	Het zal waarschijnlijk gisteravond wel gebeurd zijn.	7	7.800000000000001	4.2	1096.2333333333333	1152.4	1319.6000000000001	1619.7	1.6000000000000003	1.9000000000000004	1179.9
avg	2-28	1503	Wells aarzelde een ogenblik voor hij antwoordde: Het zal toch heel gauw algemeen bekend zijn, dus als Cavendish er geen bezwaar tegen heeft...	23	21.299999999999997	12.300000000000002	3116.9666666666667	3187.6	3608.3	4262.400000000001	3.600000000000001	4.8999999999999995	1723.0
avg	3-5	2750	Een moment was iedereen met stomheid geslagen. Japp,	8	7.25	5.5	1186.125	1194.0	1350.875	1440.75	0.5	1.25	130.125
avg	4-29	4317	Ja, dat heb ik gevonden.	5	2.25	2.0	472.9375	476.75	489.375	489.375	0.0	0.125	20.125
avg	1-47	315	Ga mee een eindje lopen, Hastings.	6	6.5	3.7	857.5833333333334	891.3	1029.1	1340.4	1.7000000000000002	2.1	381.8
avg	3-162	4162	Ze hebben hem gearresteerd... ze hebben meneer Cavendish gearresteerd!	9	7.625	4.25	1240.6875	1223.125	1479.75	1600.875	0.75	1.75	919.25
avg	3-60	3236	Opeens nam ze de handen voor haar gezicht weg.	9	5.75	4.125	1038.75	1030.375	1185.125	1185.125	0.0	0.625	132.375
